InterPad_I	InterPad_V
9.1046e-10	2.2200e-01
8.6837e-10	2.2300e-01
9.1046e-10	2.2400e-01
9.7360e-10	2.2500e-01
8.6837e-10	2.2600e-01
8.0523e-10	2.2700e-01
1.0578e-09	2.2800e-01
8.8942e-10	2.2900e-01
9.1046e-10	2.3000e-01
1.0157e-09	2.3100e-01
9.7360e-10	2.3200e-01
9.7360e-10	2.3300e-01
8.2628e-10	2.3400e-01
1.1209e-09	2.3500e-01
9.7360e-10	2.3600e-01
9.3151e-10	2.3700e-01
1.0578e-09	2.3800e-01
1.2262e-09	2.3900e-01
9.7360e-10	2.4000e-01
1.1630e-09	2.4100e-01
1.0788e-09	2.4200e-01
9.1046e-10	2.4300e-01
1.0578e-09	2.4400e-01
1.0367e-09	2.4500e-01
1.2472e-09	2.4600e-01
1.1420e-09	2.4700e-01
8.0523e-10	2.4800e-01
1.0788e-09	2.4900e-01
1.1209e-09	2.5000e-01
8.4732e-10	2.5100e-01
1.0999e-09	2.5200e-01
1.0788e-09	2.5300e-01
1.1420e-09	2.5400e-01
1.0578e-09	2.5500e-01
1.0788e-09	2.5600e-01
1.2472e-09	2.5700e-01
1.0788e-09	2.5800e-01
1.2051e-09	2.5900e-01
1.2262e-09	2.6000e-01
1.0788e-09	2.6100e-01
8.2628e-10	2.6200e-01
1.1420e-09	2.6300e-01
1.1841e-09	2.6400e-01
1.0788e-09	2.6500e-01
1.0999e-09	2.6600e-01
1.2051e-09	2.6700e-01
1.3103e-09	2.6800e-01
1.1420e-09	2.6900e-01
1.3735e-09	2.7000e-01
9.9465e-10	2.7100e-01
1.1209e-09	2.7200e-01
1.0367e-09	2.7300e-01
1.2262e-09	2.7400e-01
1.2472e-09	2.7500e-01
1.1209e-09	2.7600e-01
1.3314e-09	2.7700e-01
1.1841e-09	2.7800e-01
1.0578e-09	2.7900e-01
1.3735e-09	2.8000e-01
1.1841e-09	2.8100e-01
1.3314e-09	2.8200e-01
1.2262e-09	2.8300e-01
1.3314e-09	2.8400e-01
1.1630e-09	2.8500e-01
1.0999e-09	2.8600e-01
1.2893e-09	2.8700e-01
1.0367e-09	2.8800e-01
1.1420e-09	2.8900e-01
1.1630e-09	2.9000e-01
1.2893e-09	2.9100e-01
1.3524e-09	2.9200e-01
1.0999e-09	2.9300e-01
1.2262e-09	2.9400e-01
1.1420e-09	2.9500e-01
1.4577e-09	2.9600e-01
1.3735e-09	2.9700e-01
1.3103e-09	2.9800e-01
1.3735e-09	2.9900e-01
1.0788e-09	3.0000e-01
1.2683e-09	3.0100e-01
1.3945e-09	3.0200e-01
1.3945e-09	3.0300e-01
