InterPad_I	InterPad_V
1.1317e-06	2.5800e-01
1.1352e-06	2.5900e-01
1.1364e-06	2.6000e-01
1.1395e-06	2.6100e-01
1.1415e-06	2.6200e-01
1.1447e-06	2.6300e-01
1.1480e-06	2.6400e-01
1.1498e-06	2.6500e-01
1.1502e-06	2.6600e-01
1.1521e-06	2.6700e-01
1.1561e-06	2.6800e-01
1.1562e-06	2.6900e-01
1.1556e-06	2.7000e-01
1.1660e-06	2.7100e-01
1.1639e-06	2.7200e-01
1.1647e-06	2.7300e-01
1.1739e-06	2.7400e-01
1.1681e-06	2.7500e-01
1.1722e-06	2.7600e-01
1.1801e-06	2.7700e-01
1.1796e-06	2.7800e-01
1.1912e-06	2.7900e-01
1.1883e-06	2.8000e-01
1.1855e-06	2.8100e-01
1.1887e-06	2.8200e-01
1.1943e-06	2.8300e-01
1.1959e-06	2.8400e-01
1.1922e-06	2.8500e-01
1.1960e-06	2.8600e-01
1.1971e-06	2.8700e-01
1.1996e-06	2.8800e-01
1.2022e-06	2.8900e-01
1.2035e-06	2.9000e-01
1.2030e-06	2.9100e-01
1.2042e-06	2.9200e-01
1.2093e-06	2.9300e-01
1.2091e-06	2.9400e-01
1.2121e-06	2.9500e-01
1.2150e-06	2.9600e-01
1.2217e-06	2.9700e-01
1.2200e-06	2.9800e-01
1.2197e-06	2.9900e-01
1.2214e-06	3.0000e-01
1.2229e-06	3.0100e-01
1.2233e-06	3.0200e-01
1.2254e-06	3.0300e-01
1.2228e-06	3.0400e-01
1.2288e-06	3.0500e-01
1.2371e-06	3.0600e-01
